Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2023 5,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 4,CR 2024 5,CR 2025 1,CR 2025 2
AIQ,OBC,West Bengal,"NBMC, Darjeeling",PHYSIOLOGY,"₹12,000*","₹61,634",3*,"₹30,00,000*",843,,,,,,117404(1),119525(1),149352(1),,,,
AIQ,SC,Andhra Pradesh,"Rajiv Gandhi IMS, Ongole",FORENSIC MEDICINE,"₹30,000*","₹60,823",0*,₹0*,500,,,,,,72338(1),90762(1),112667(1),149374(1),,,
AIQ,GEN-PwD,Karnataka,"Mandya IMS, Mandya",ORTHOPAEDICS,"₹1,23,400*","₹56,250",1*,"₹50,00,000*",910,,,149415(1),,,,,,,,,
NBE Diploma,ST,Rajasthan,"District Hospital, Pratapgarh",DO(NBEMS),"₹1,25,000","₹62,388",0,₹0,Info Not Available,,,,,,112025(1),113993(1),149678(1),,,,
AIQ,SC,West Bengal,"College of Med & SDH, Kolkata",PHARMACOLOGY,"₹12,000*","₹61,634",3*,"₹30,00,000*",500,103489(1),113336(1),127051(1),149684(1),,,,,,,,
AIQ,GEN-PwD,Madhya Pradesh,"MGM Med Coll, Indore",PSYCHIATRY,"₹1,01,500*","₹75,444",1*,"₹10,00,000*",1300,,,,,,,87959(1),149753(1),,,,
NBE Diploma,ST,Rajasthan,"Mahatma Gandhi Hosp, Bhilwara",DA(NBEMS),"₹1,25,000","₹62,388*",0,₹0,Info Not Available,101665(1),92353(1),149861(1),,,102274(1),,,,,,
NRI,GEN,Uttar Pradesh,"Santosh Med Coll, Ghaziabad",ORTHOPAEDICS,"₹77,40,000*","₹56,010",0,₹0,800,,,149873(1),,,,129451(1),100807(1),,,,
AIQ,GEN,Telangana,"Govt Med Coll, Nalgonda",PHYSIOLOGY,"₹15,000*","₹67,032",1,"₹20,00,000",580,,,,,,,,92386(1),149917(1),,,
AIQ,ST,Maharashtra,"Lokmanya Tilak, Sion, Mumbai",BIOCHEMISTRY,"₹1,57,100*","₹93,559",1,"₹50,00,000",1462,,,,,,120534(1),,149928(1),,,,
AIQ,SC,Assam,"Gauhati Med Coll, Guwahati",DFM,"₹27,300*","₹55,200*",2*,"₹15,00,000*",2185,,,,,,104330(1),103797(1),117304(1),139610(1),149930(1),,
NBE Diploma,ST,Karnataka,"District Hospital, Chitradurga",DLO(NBEMS),"₹1,25,000","₹56,250*",1,"₹20,00,000",450,96616(1),115671(1),150135(1),,,,,,,,,
AIQ,OBC-PwD,Madhya Pradesh,"SSMC, Rewa",GENERAL MEDICINE,"₹1,01,500*","₹75,444",1*,"₹10,00,000*",1140,,,,,,123667(1),123667(1),150156(1),,,,
AIQ,ST,Dadra and Nagar Haveli,"NAMO MERI Govt MedColl,Silvassa",PATHOLOGY,"₹7,00,000*","₹43,000",3,"₹50,00,000",650,,,,,,,95304(1),84510(1),150256(1),118835(1),,
AIQ,OBC,Maharashtra,"Govt Med Coll, Akola",BIOCHEMISTRY,"₹1,57,100*","₹93,559",1,"₹50,00,000",946,,,,,,93200(1),93200(1),116083(1),150299(1),,,
NRI,GEN,Tamil Nadu,"SRM Med Coll, Kancheepuram",ENT,"₹86,00,000*","₹52,451",0,₹0,1590,,,141342(2),139199(2),150411(1),,,,,,,
AIQ,EWS,Rajasthan,"Govt Med Coll, Kota",FORENSIC MEDICINE,"₹14,093*","₹87,216*",2,"₹25,00,000",2581,,,,,,90441(1),,150419(1),,,,
AIQ,ST,Telangana,"Kakatiya Med Coll, Warangal",FORENSIC MEDICINE,"₹15,000*","₹67,032",1,"₹20,00,000",1150,,,137954(1),144019(1),150874(1),,,,,,,
NRI,GEN,Pondicherry,"MGMC & RI, Pondicherry",ORTHOPAEDICS,"₹68,80,000*","₹40,000",0,₹0,1380,,,150970(3),106443(1),121198(1),117517(1),124166(2),128761(3),142188(1),,,
AIQ,EWS,Telangana,"Gandhi Med Coll, Secunderabad",ANATOMY,"₹15,000*","₹67,032",1,"₹20,00,000",1200,,,137405(1),151171(1),,,,,,,,
AIQ,SC,Assam,"Assam Med Coll, Dibrugarh",BIOCHEMISTRY,"₹27,300*","₹55,200*",2*,"₹20,00,000*",1365,,,,,,113254(1),,148303(1),151498(1),,,
AIQ,GEN,Kerala,"Govt of Med Sci, Pariyaram",PHYSIOLOGY,"₹69,470*","₹57,876",1*,"₹50,00,000*",1752,46021(1),71164(1),63662(1),,,,,,,151522(1),,
AIQ,SC,Odisha,"VIMSAR, Burla",PHARMACOLOGY,"₹35,000*","₹91,042*",2*,"₹68,05,464*",1071,104835(1),,104835(1),151589(1),141893(1),63422(1),,147167(1),,,,
AIQ,GEN,Karnataka,"Gadag IMS, Gadag",BIOCHEMISTRY,"₹40,900*","₹56,250",1*,"₹50,00,000*",Info Not Available,,,,,151681(1),,,111846(1),112003(1),,,
DNB Post MBBS,OBC,Jammu and Kashmir,"Govt Med Coll Hosp, Jammu",DNBBIOCHEMISTRY,"₹1,25,000","₹59,500",0,₹0,2663,,,128987(1),151795(1),,,,,,,,
NRI,GEN,Maharashtra,"BVDU, Pune",ORTHOPAEDICS,"₹90,07,640*","₹86,000",1,"₹12,00,000",856,79138(1),79138(1),111562(2),,,,,151851(1),,,,
MNG,GEN,Tamil Nadu,"Sree Balaji Med Coll, Chennai",SPM,"₹8,00,000*","₹25,000*",0,₹0,1250,,102609(1),151950(8),,,121171(3),121171(3),148287(8),,,,
AIQ,SC,Andhra Pradesh,"Rangaraya Med Coll, Kakinada",FORENSIC MEDICINE,"₹30,000*","₹60,823",0*,₹0*,1450,,,,,,77688(1),77688(1),89676(1),152109(1),,,
JM,GEN,Gujarat,"SBKS, Vadodara",MICROBIOLOGY,"₹7,42,500*","₹1,00,800*",1*,"₹15,00,000*",1340,,,,,,,,152114(1),,,,
AIQ,EWS,Uttar Pradesh,"UP Univ of Med Sci, Etawah",BIOCHEMISTRY,"₹24,000*","₹1,10,646*",2*,"₹40,00,000*",1268,,,,,,,,152200(1),107383(1),,,
NRI,GEN,Tamil Nadu,"Vinayaka Missions, Salem",GENERAL SURGERY,-,-,-,-,560,,,135483(2),,,99880(1),,152212(2),,,,
AIQ,ST,Andhra Pradesh,"Govt Med Coll, Ananthapuram",MICROBIOLOGY,"₹30,000*","₹60,823",0*,₹0*,500,,,141495(1),152298(1),,,,,,,,
MNG,GEN,Odisha,"Kalinga IMS, Bhubaneswar",MICROBIOLOGY,"₹9,00,000*","₹72,000",0,₹0,2600,,,140956(2),,,,,135739(2),152383(1),,,
AIQ,SC,Telangana,"Govt Med Coll, Nizamabad",PHYSIOLOGY,"₹15,000*","₹67,032",1,"₹20,00,000",500,101982(1),,152451(1),,,,,,,,,
NRI,GEN,Tamil Nadu,"SRM Med Coll, Kancheepuram",OPHTHALMOLOGY,"₹86,00,000*","₹52,451",0,₹0,1590,,,23636(1),44662(1),147927(1),129451(2),128199(1),152511(3),149531(1),,,
AIQ,SC,Uttar Pradesh,"Govt Med Coll, Kannauj",PHYSIOLOGY,"₹24,000*","₹1,10,646*",2*,"₹40,00,000*",470,,,152539(1),,,,,,,,,
AIQ,ST,Jharkhand,"Rajendra IMS, Ranchi",PHYSIOLOGY,"₹1,550","₹1,00,770*",3*,"₹30,00,000*",1754,92851(1),,134909(1),152678(1),,,,,,,,
AIQ,EWS,Uttar Pradesh,"KGMU, Lucknow",PHYSIOLOGY,"₹54,700*","₹1,26,725",2*,"₹40,00,000*",4500,,,152701(1),,,86924(1),86924(1),119072(1),,,,
AIQ,EWS,Uttar Pradesh,"IMS(BHU), Varanasi",ANATOMY,"₹48,226*","₹1,12,054*",0,₹0,1165,,,,,,,,152702(1),,,,
AIQ,ST,Karnataka,"Mysore Med Coll, Mysore",FORENSIC MEDICINE,"₹68,400*","₹56,250",1*,"₹50,00,000*",1050,,,,,,111394(1),111394(1),152706(1),,,,
AIQ,OBC,Maharashtra,"VMMC, Solapur",BIOCHEMISTRY,"₹1,57,100*","₹93,559",1,"₹50,00,000",763,117079(1),,147329(1),152816(1),,,,,,,,
NBE Diploma,ST,Nagaland,"Naga Hospital Authority, Kohima",DA(NBEMS),"₹1,25,000","₹43,000*",0,₹0,300,105588(1),107796(1),107796(1),,,115046(1),93403(1),152939(1),,,,
AIQ,OBC,Rajasthan,"Govt Med Coll, Pali",PHYSIOLOGY,"₹89,489*","₹87,216*",2,"₹25,00,000",Info Not Available,,,142911(1),153037(1),,67790(1),71969(1),111446(1),120596(1),,,
AIQ,GEN,Bihar,"Govt Med Coll, Bettiah",ANATOMY,"₹9,000*","₹82,000",2*,"₹25,00,000*",470,,,,,,101770(1),103870(1),125894(1),153041(1),,,
AIQ,OBC,West Bengal,"College of Med & JNM, Kalyani",PHYSIOLOGY,"₹12,000*","₹61,634",3*,"₹30,00,000*",450,,,,,,97687(1),76703(1),153062(1),,,,
AIQ,OBC-PwD,Rajasthan,"RNT, Udaipur",PAEDIATRICS,"₹14,093*","₹87,216*",2,"₹1,00,00,000",2206,,,,,,,,153075(1),,,,
NBE Diploma,ST,West Bengal,"District Hospital, Darjeeling",DLO(NBEMS),"₹1,25,000","₹61,634",0,₹0,Info Not Available,80806(1),91112(1),117229(1),153107(1),,,,,,,,
AIQ,GEN-PwD,Bihar,"Jawaharlal Nehru, Bhagalpur",TBRD,"₹9,000*","₹82,000",2*,"₹25,00,000*",800,,,153109(1),,,,,,,,,
AIQ,GEN-PwD,West Bengal,"ESI, Joka, Kolkata",OBG,"₹2,50,000*","₹1,00,980*",2*,"₹10,00,000*",470,,,153229(1),,,,,,,,,
NRI,GEN,Maharashtra,"Krishna IMS, Karad",EMERGENCY MEDICINE,-,-,-,-,1125,,,120256(1),153331(1),,,,137902(1),97327(1),,,
AIQ,GEN,West Bengal,Calcutta National Med Coll,PHYSIOLOGY,"₹12,000*","₹61,634",3*,"₹30,00,000*",1470,,,,,,77800(1),77800(1),70254(1),112479(1),153378(1),,
AIQ,ST,Chandigarh,"GMC, Chandigarh",MICROBIOLOGY,"₹34,500*","₹1,09,926*",0,₹0,967,80923(1),88904(1),102863(1),,,,,149649(1),153456(1),,,
NRI,GEN,Pondicherry,"Aarupadai Veedu, Pondicherry",GENERAL MEDICINE,"₹66,50,638*","₹40,000",0,₹0,584,,,153469(4),,,117913(1),123364(4),139937(4),,,,
AIQ,SC,Madhya Pradesh,"Gajra Raja Med Coll, Gwalior",BIOCHEMISTRY,"₹1,01,500*","₹75,444",1*,"₹10,00,000*",1100,,,,,,110217(1),125200(1),153568(1),,,,
AIQ,SC,Andhra Pradesh,"Govt Siddhartha, Vijaywada",ANATOMY,"₹30,000*","₹60,823",0*,₹0*,707,,,153689(1),,,,,,,,,
AIQ,OBC,Maharashtra,"Sri Bhausaheb, Dhule",BIOCHEMISTRY,"₹1,57,100*","₹93,559",1,"₹50,00,000",545,,,153729(1),,,,,,,,,
AIQ,SC,Uttar Pradesh,"UP Univ of Med Sci, Etawah",PHYSIOLOGY,"₹24,000*","₹1,10,646*",2*,"₹40,00,000*",1268,106801(1),,146328(1),153753(1),,100146(1),108882(1),143837(2),,,,
AIQ,OBC,Tripura,"Agartala Med Coll, Agartala",PHYSIOLOGY,"₹1,50,000*","₹55,200",1*,"₹35,00,000*",580,89464(1),112192(1),140448(1),,,83147(1),119915(1),147795(1),153957(1),,,
AIQ,SC,Telangana,"Rajiv Gandhi IMS, Adilabad",PHYSIOLOGY,"₹15,000*","₹67,032",1,"₹20,00,000",Info Not Available,,,,,,104199(1),,154057(1),,,,
AIQ,GEN-PwD,Odisha,"MKCG, Berhampur",OBG,"₹35,000*","₹73,042",2*,"₹55,09,464*",1140,,,154059(1),,,,,,,,,
AIQ,EWS,Rajasthan,"SNMC, Jodhpur",FORENSIC MEDICINE,"₹14,093*","₹87,216*",2,"₹25,00,000",3101,,,,,,,,106023(1),154209(1),120683(1),,
DNB Post MBBS,GEN-PwD,Delhi,"Swami Dayanand Hospital, Delhi",DNBGENERAL MEDICINE,"₹1,25,000","₹1,35,264",1*,"₹20,00,000*",370,96693(1),96693(1),154241(1),,,,,146585(1),,,,
AIQ,EWS,Karnataka,"Mysore Med Coll, Mysore",PHARMACOLOGY,"₹68,400*","₹56,250",1*,"₹50,00,000*",1050,58368(1),,154282(1),,,,,,,,,
AIQ,ST,Maharashtra,"Govt Med Coll, Nanded",FORENSIC MEDICINE,"₹1,57,100*","₹93,559",1,"₹50,00,000",750,,,154311(1),,,,,,,,,
AIQ,OBC,Himachal Pradesh,"IGMC, Shimla",PHYSIOLOGY,"₹24,000*","₹40,000*",2*,"₹40,00,000*",1031,117321(1),,153721(1),154414(1),,119881(1),118335(1),135882(1),119689(1),,,
AIQ,EWS,Uttar Pradesh,"Govt Med Coll, Rampur, Basti",PHYSIOLOGY,"₹24,000*","₹1,10,646*",2*,"₹40,00,000*",500,,,,,,,,154526(1),,,,
AIQ,GEN-PwD,Maharashtra,"Sri Bhausaheb, Dhule",PAEDIATRICS,"₹1,57,100*","₹93,559",1,"₹50,00,000",545,,,154538(1),,,,,,,,,
AIQ,GEN,West Bengal,Bankura Sammilani Med Coll,ANATOMY,"₹12,000*","₹61,634",3*,"₹30,00,000*",1441,44398(1),67237(1),110306(1),154574(1),,79050(1),99065(1),121654(1),,,,
AIQ,SC,Haryana,"BPS Govt Med Coll, Sonepat",BIOCHEMISTRY,"₹1,25,000*","₹1,04,346*",0*,₹0*,506,84129(1),,154621(1),,,,,,,,,
AIQ,SC,Maharashtra,"Shri VR Naik Govt, Yavatmal",PHARMACOLOGY,"₹1,57,100*","₹93,559",1,"₹50,00,000",756,94043(1),,147292(1),154664(1),,,,116817(1),,,,
NRI,GEN,Karnataka,"Siddhartha Med Coll, Tumkur",PAEDIATRICS,"₹1,00,00,000*","₹35,000",0,₹0,960,,115968(2),153737(2),141946(1),,,,154684(2),,,,
AIQ,ST,Andhra Pradesh,"Govt Siddhartha, Vijaywada",FORENSIC MEDICINE,"₹30,000*","₹60,823",0*,₹0*,707,,,,,,,,136518(1),154728(1),,,
AIQ,EWS,Odisha,"MKCG, Berhampur",PHARMACOLOGY,"₹35,000*","₹91,042*",2*,"₹68,05,464*",1140,,,154753(1),,,,,,,,,
AIQ,OBC,Uttarakhand,"Doon Med Coll, Dehradun",PHYSIOLOGY,"₹1,00,000*","₹71,257*",0*,₹0*,750,,,,,,123361(1),113953(1),154792(1),,,,
AIQ,SC,Uttarakhand,"VCSG Med Coll, Pauri Garhwal",PHARMACOLOGY,"₹1,00,000*","₹76,600*",0*,₹0*,Info Not Available,,,,,,87339(1),109639(1),154873(1),,,,
AIQ,OBC,Telangana,"Govt Med Coll, Nalgonda",BIOCHEMISTRY,"₹15,000*","₹67,032",1,"₹20,00,000",580,,,,,,94703(1),113986(1),133032(1),57443(1),154961(1),,
AIQ,ST,Uttarakhand,"VCSG Med Coll, Pauri Garhwal",PATHOLOGY,"₹5,00,000*","₹76,600*",0,₹0,Info Not Available,100183(1),97466(1),114420(1),155152(1),,,,,,,,
AIQ,GEN,Telangana,"Rajiv Gandhi IMS, Adilabad",BIOCHEMISTRY,"₹15,000*","₹67,032",1,"₹20,00,000",Info Not Available,,,,,,51727(1),44206(1),95618(1),128452(1),155212(1),,
AIQ,ST,West Bengal,"Govt. Med College, Kolkata",FORENSIC MEDICINE,"₹12,000*","₹61,634",3*,"₹30,00,000*",2668,114218(1),,148185(1),155264(1),,,,,,,,
AIQ,GEN-PwD,Delhi,"ABVIMS (Dr RML Hosp), Delhi",ANAESTHESIOLOGY,"₹51,000","₹1,36,008",1,"₹20,00,000",1626,,,,,,,,155332(1),,,,
AIQ,GEN-PwD,Telangana,"NIMS, Hyderabad",ANAESTHESIOLOGY,"₹72,000*","₹1,16,844",1,"₹20,00,000",1498,,,155369(1),,,,,,,,,
AIQ,SC,Telangana,"Govt Med Coll, Mahabubnagar",MICROBIOLOGY,"₹15,000*","₹67,032",1,"₹20,00,000",900,,,,,,82589(1),87966(1),100535(1),155435(2),,,
NRI,GEN,Tamil Nadu,"SRMC & RI, Chennai",SPORTS MEDICINE,"₹64,50,000*","₹48,000",0,₹0,1800,80314(1),,155441(1),,,123800(1),,145652(1),,,,
NRI,GEN,Pondicherry,"Vinayaka Missions, Karaikal",ORTHOPAEDICS,-,-,-,-,590,,,155460(1),133850(1),,,,123076(1),146742(1),,,
AIQ,GEN,Assam,"Jorhat Med Coll, Jorhat",PHYSIOLOGY,"₹27,300*","₹55,200*",2*,"₹20,00,000*",814,,,124158(1),155678(1),149141(1),97880(1),,151328(1),,,,
AIQ,EWS,Telangana,"Rajiv Gandhi IMS, Adilabad",PHARMACOLOGY,"₹15,000*","₹67,032",1,"₹20,00,000",Info Not Available,,,88580(1),155866(1),,,,,,,,
MNG,GEN,Pondicherry,"Aarupadai Veedu, Pondicherry",MICROBIOLOGY,₹0*,₹0*,0,₹0,584,,,153495(4),148161(1),,102762(1),,156074(4),134385(1),,,
AIQ,OBC,Madhya Pradesh,"SSMC, Rewa",BIOCHEMISTRY,"₹1,01,500*","₹75,444",1*,"₹10,00,000*",1140,,,145164(1),156095(1),,,,,,,,
DNB Post MBBS,SC,Jammu and Kashmir,"Assoc Hosp Govt MC, Kathua",DNBPHYSIOLOGY,"₹1,25,000","₹59,500",0,₹0,564,,,,,,114196(1),,156130(1),,,,
AIQ,ST,Tamil Nadu,Chengalpattu Med Coll,SPM,"₹50,000*","₹54,025*",2*,"₹40,00,000*",700,,,,,,91224(1),115145(1),107748(1),156134(1),,,
NRI,GEN,Haryana,"MMIMS, Mullana, Ambala",ORTHOPAEDICS,"₹60,20,000*","₹56,100",1*,"₹10,00,000*",940,,,156193(2),,,122902(2),122902(2),122902(2),,,,
DU,ST,Delhi,"Lady Hardinge, Delhi",FORENSIC MEDICINE,"₹16,200*","₹1,26,927*",1,"₹20,00,000",877,105275(1),,156226(1),,,,,,,,,
AIQ,OBC-PwD,Odisha,"SCB, Cuttack",GENERAL SURGERY,"₹35,000*","₹73,042",2*,"₹55,09,464*",2106,,,,,,,,156247(1),,,,
AIQ,OBC,Chhattisgarh,"Pt JNM Med Coll, Raipur",BIOCHEMISTRY,"₹20,000*","₹67,500",2*,"₹50,00,000*",1246,,105916(1),126871(1),156316(1),147835(1),,,,,,,
NRI,GEN,Tamil Nadu,"Vinayaka Missions, Salem",OBG,"₹57,33,362*","₹35,000",0,₹0,560,,,156575(2),129026(1),,105866(1),,127958(1),134538(1),,,
AIQ,OBC-PwD,Maharashtra,"Indira Gandhi MedColl, Nagpur",ANAESTHESIOLOGY,"₹1,57,100*","₹93,559",1,"₹50,00,000",822,,,156666(1),,,,,,,,,
AIQ,SC,Bihar,"Nalanda Med Coll, Patna",PHYSIOLOGY,"₹9,000*","₹82,000",2*,"₹25,00,000*",750,,,115663(1),,,,128165(1),156708(1),,,,
AIQ,GEN-PwD,Rajasthan,"SP Med Coll, Bikaner",OBG,"₹14,093*","₹87,216*",2,"₹1,50,00,000",1570,,,,,,101443(1),,156726(1),,,,
AIQ,OBC,Uttar Pradesh,"IMS(BHU), Varanasi",ANATOMY,"₹48,226*","₹1,12,054*",0,₹0,1165,64848(1),115741(1),88815(1),116053(1),,,,70282(1),156806(1),,,
AIQ,OBC-PwD,Tamil Nadu,"Stanley Med Coll, Chennai",GENERAL SURGERY,"₹50,000*","₹54,025*",2*,"₹40,00,000*",1661,,,156807(1),,,,,,,,,
AIQ,EWS,Karnataka,"Mysore Med Coll, Mysore",MICROBIOLOGY,"₹68,400*","₹56,250",1*,"₹50,00,000*",1050,,,156816(1),,,,,,,,,
AIQ,OBC,West Bengal,Midnapore Medical College,PHARMACOLOGY,"₹12,000*","₹61,634",3*,"₹30,00,000*",1051,85904(1),,124841(1),148663(1),157014(1),,,,,,,
AIQ,EWS-PwD,Tamil Nadu,"Madras Med Coll, Chennai",DERMATOLOGY,"₹50,000*","₹54,025*",2*,"₹40,00,000*",7285,,,157083(1),,,,,,,,,
AIQ,EWS,Madhya Pradesh,"Gandhi Med Coll, Bhopal",MICROBIOLOGY,"₹1,01,500*","₹75,444",1*,"₹10,00,000*",1135,,,157086(1),,,,,,,,,
AIQ,EWS,Himachal Pradesh,"IGMC, Shimla",SPM,"₹24,000*","₹40,000*",2*,"₹40,00,000*",1031,65934(1),,106419(1),120857(1),157128(1),,73264(1),140991(1),,,,
NRI,GEN,Karnataka,"SDU Med Coll, Kolar",ORTHOPAEDICS,"₹84,53,800*","₹50,000",1*,"₹19,80,000*",1100,,,113565(1),,,,,131689(2),157166(1),,,
AIQ,SC,Maharashtra,"SRTT, Ambajogai",FORENSIC MEDICINE,"₹1,57,100*","₹93,559",1,"₹50,00,000",518,,,,,,,,120856(1),157191(1),,,
AIQ,SC,Bihar,"Patna Med Coll, Patna",BIOCHEMISTRY,"₹9,000*","₹82,000",2*,"₹25,00,000*",1748,,,,,157250(1),114589(1),128281(1),142967(2),,,,
AIQ,SC,Bihar,"AN Magadh, Gaya",PHARMACOLOGY,"₹9,000*","₹82,000",2*,"₹25,00,000*",425,,,,,157310(1),,,,,,,
AIQ,ST,Uttar Pradesh,"MLB Med Coll, Jhansi",SPM,"₹24,000*","₹1,10,646*",2*,"₹40,00,000*",700,,,,,,113191(1),,157401(1),149018(1),,,
AIQ,ST-PwD,Rajasthan,"RNT, Udaipur",SPM,"₹14,093*","₹87,216*",2,"₹25,00,000",2206,,,157413(1),,,,,,,,,
AIQ,SC,Karnataka,"Mysore Med Coll, Mysore",FORENSIC MEDICINE,"₹68,400*","₹56,250",1*,"₹50,00,000*",1050,,,,,,,,,157451(1),,,
AIQ,SC,Gujarat,"Govt Med Coll, Bhavnagar",BIOCHEMISTRY,"₹30,000*","₹1,00,800",0*,₹0*,720,118230(1),,157531(1),,,,,,,,,
AIQ,SC,Uttar Pradesh,"Govt Med Coll, Shahjhanpur",ANATOMY,"₹24,000*","₹1,10,646*",2*,"₹40,00,000*",460,,,,,,121007(1),,157540(1),,,,
AIQ,GEN,Karnataka,"Koppal Inst of MS, Koppal",PHYSIOLOGY,"₹40,900*","₹56,250",1*,"₹50,00,000*",Info Not Available,,,,,,71249(1),,157670(1),,,,
AIQ,ST,Manipur,"JNIMS, Imphal",PHARMACOLOGY,"₹50,000*","₹50,000",0*,₹0*,643,,,135788(1),157744(1),,,,,,,,
AIQ,EWS,Bihar,"Govt Med Coll, Bettiah",PHYSIOLOGY,"₹9,000*","₹82,000",2*,"₹25,00,000*",470,,,,,,,,157837(1),,,,
AIQ,SC,Maharashtra,"Lokmanya Tilak, Sion, Mumbai",DPH,"₹1,57,100*","₹93,559",1,"₹50,00,000",1462,81468(1),78475(1),101155(1),157953(1),119840(1),,,,,,,
AIQ,SC,Rajasthan,"JLNMC, Ajmer",MICROBIOLOGY,"₹14,093*","₹87,216*",2,"₹50,00,000",1428,81161(1),,110928(1),127295(1),158036(1),81478(1),91735(1),99325(1),,,,
AIQ,SC,Haryana,"Kalpana Chawala Govt MC,Karnal",PHYSIOLOGY,"₹1,25,000*","₹1,04,346*",0*,₹0*,556,,,,,,101337(1),70894(1),130064(1),158108(1),,,
AIQ,ST,Maharashtra,"Govt Med Coll, Nagpur",PHARMACOLOGY,"₹1,57,100*","₹93,559",1,"₹50,00,000",1866,111394(1),,146259(1),158113(1),,62992(1),98281(1),154901(1),,,,
AIQ,EWS,Telangana,"Govt Med Coll, Suryapet",PHARMACOLOGY,"₹15,000*","₹67,032",1,"₹20,00,000",580,,,158490(1),,,,,,,,,
AIQ,SC,Maharashtra,"Govt Med Coll, Jalgaon",PHARMACOLOGY,"₹1,57,100*","₹93,559",1,"₹50,00,000",441,91367(1),,143179(1),158584(1),,84527(1),84527(1),84527(1),,,,
NRI,GEN,Maharashtra,"DY Patil, Pimpri, Pune",ORTHOPAEDICS,"₹1,11,80,000*","₹85,000*",1*,₹0*,2011,,,152136(3),143759(2),,,,155790(3),158696(2),,,
NRI,GEN,Maharashtra,"BVDU, Sangli",ORTHOPAEDICS,"₹90,07,640*","₹86,000*",1,"₹12,00,000",853,,,139910(1),,,,,125262(1),158799(1),,,
NRI,GEN,Karnataka,"Siddhartha Med Coll, Tumkur",ORTHOPAEDICS,"₹1,00,00,000*","₹35,000",0,₹0,960,,,158643(2),137928(2),,,,149392(2),158904(1),,,
AIQ,SC-PwD,Delhi,"MAMC, Delhi",DDVL,"₹16,200*","₹1,26,927*",1,"₹20,00,000",2800,,,158909(1),,,,,,,,,
AIQ,GEN,Telangana,"Govt Med Coll, Suryapet",PHYSIOLOGY,"₹15,000*","₹67,032",1,"₹20,00,000",580,56094(1),,108284(1),118449(1),,,,,159073(1),,,
AIQ,ST,Rajasthan,"SNMC, Jodhpur",PHYSIOLOGY,"₹14,093*","₹87,216*",2,"₹25,00,000",3101,,,,,,124107(1),,159119(1),,,,
DNB Post MBBS,ST,Karnataka,"Wenlock Dist Hosp, Mangalore",DNBIHBT,"₹1,25,000","₹56,250*",1,"₹20,00,000",705,89257(1),106234(1),117222(1),159348(1),,,,,,,,
AIQ,SC-PwD,Uttar Pradesh,"GSVM Med Coll, Kanpur",GENERAL SURGERY,"₹24,000*","₹1,10,646*",2*,"₹40,00,000*",2083,,,159379(1),,,,,,,,,
AIQ,OBC-PwD,Rajasthan,"SMS, Jaipur",ENT,"₹14,093*","₹87,216*",2,"₹50,00,000",5702,,,,,,,,159388(1),,,,
DNB Post MBBS,OBC,Gujarat,"GMERS MedColl Hosp,Mehsana",DNBMICROBIOLOGY,"₹1,25,000","₹1,00,800",0,₹0,Info Not Available,,,,,,78939(1),102943(1),117897(1),134475(1),159448(1),,
AIQ,EWS,Jammu and Kashmir,"Sher-I-Kashmir, Srinagar",SPM,"₹11,000*","₹80,000",0*,₹0*,1200,,,,,,36626(1),,76410(1),159523(1),,,
AIQ,GEN-PwD,Telangana,"Osmania Med Coll, Hyderabad",PSYCHIATRY,"₹15,000*","₹67,032",1,"₹20,00,000",4800,,,159586(1),,,,,,,,,
AIQ,EWS,Madhya Pradesh,"Gandhi Med Coll, Bhopal",FORENSIC MEDICINE,"₹1,01,500*","₹75,444",1*,"₹10,00,000*",1135,,,159638(1),,,,,,,,,
AIQ,ST-PwD,Himachal Pradesh,"IGMC, Shimla",RADIO DIAGNOSIS,"₹24,000*","₹40,000*",2*,"₹40,00,000*",1031,,,159663(1),,,,,,,,,
AIQ,GEN,Karnataka,"Raichur IMS, Raichur",PHYSIOLOGY,"₹40,900*","₹56,250",1*,"₹50,00,000*",500,82386(1),,150620(1),159719(1),,,,,,,,
AIQ,ST,Maharashtra,"Govt Med Coll, Miraj",MICROBIOLOGY,"₹1,57,100*","₹93,559",1,"₹50,00,000",725,98178(1),,158965(1),,,96169(1),113057(1),159740(1),,,,
AIQ,SC,Assam,"Tezpur Med Coll, Tezpur",MICROBIOLOGY,"₹27,300*","₹55,200*",2*,"₹20,00,000*",500,89868(1),,107522(1),159857(1),154283(1),,,,,,,
AIQ,GEN-PwD,Uttar Pradesh,"IMHH, Agra",PSYCHIATRY,"₹24,000*","₹1,10,646*",2*,"₹40,00,000*",718,,,118185(1),,,72277(1),,159931(1),,,,
NRI,GEN,Tamil Nadu,"SRM Med Coll, Kancheepuram",GENERAL MEDICINE,"₹86,00,000*","₹52,451",0,₹0,1590,85381(4),85381(4),85381(4),,,129439(3),121039(5),160051(8),154639(1),,,
AIQ,OBC,West Bengal,"NBMC, Darjeeling",ANATOMY,"₹12,000*","₹61,634",3*,"₹30,00,000*",843,,,160059(1),,,,,,,,,
AIQ,GEN,Chhattisgarh,"CIMS, Bilaspur",ANATOMY,"₹20,000*","₹67,500",2*,"₹50,00,000*",550,,,,,,,,136611(2),160212(1),,,
