Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2023 5,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 4,CR 2024 5,CR 2025 1,CR 2025 2
AIQ,EWS,Telangana,"Kakatiya Med Coll, Warangal",PATHOLOGY,"₹15,000*","₹67,032",1,"₹20,00,000",1150,34487(1),40520(1),40520(1),,,34511(1),34511(1),47488(1),,,,
DNB Post MBBS,SC,Punjab,"MataKaushalya GovtHosp,Patiala",DNBPAEDIATRICS,"₹1,25,000","₹67,968",1,"₹10,00,000",300,,,,,,31166(1),28857(1),36801(1),47491(1),,,
NBE Diploma,OBC,Dadra and Nagar Haveli,"VinobaBhaveCivilHosp, Silvassa",DO(NBEMS),"₹1,25,000","₹35,000",1,"₹10,00,000",316,43977(1),47496(1),47496(1),,,,,,,,,
AIQ,GEN,Rajasthan,"Govt Med Coll, Pali",PATHOLOGY,"₹89,489*","₹87,216*",2,"₹50,00,000",Info Not Available,33594(2),39731(2),47498(2),,,,,,,,,
NBE Diploma,GEN,Rajasthan,"MGM Govt Dist Hosp,Hanumangarh",DO(NBEMS),"₹1,25,000","₹62,388",0,₹0,Info Not Available,,,,,,45276(1),47585(1),47585(1),,,,
AIQ,SC,Uttar Pradesh,"SN Med Coll, Agra",DTBCD,"₹24,000*","₹1,10,646*",2*,"₹20,00,000*",976,,,,,,36618(1),45991(1),47602(1),,,,
AIQ,GEN,Karnataka,"Bidar IMS, Bidar",PATHOLOGY,"₹68,400*","₹56,250",1*,"₹50,00,000*",500,,,,,,31996(1),31996(1),42396(1),47608(1),,,
AIQ,ST,Bihar,"Darbhanga, Lehriasarai",PAEDIATRICS,"₹9,000*","₹82,000",2*,"₹25,00,000*",1030,,,,,,37926(1),40922(1),47628(1),,,,
AIQ,SC,Madhya Pradesh,"Bundelkhand Med Coll, Sagar",ANAESTHESIOLOGY,"₹1,01,500*","₹75,444",1*,"₹10,00,000*",750,,,,,,35733(1),39392(1),47647(1),,,,
AIQ,SC,Assam,"Tezpur Med Coll, Tezpur",PSYCHIATRY,"₹27,300*","₹55,200*",2*,"₹20,00,000*",500,34462(1),44216(1),44464(1),47672(1),,,,,,,,
NBE Diploma,GEN,Jammu and Kashmir,"District Hospital, Pulwama, JK",DA(NBEMS),"₹1,25,000","₹48,000",0,₹0,200,,,,,,34840(1),47675(1),47675(1),,,,
AIQ,SC,Uttar Pradesh,"Dr RML IMS, Lucknow",RADIATION ONCOLOGY,"₹35,000*","₹1,26,726",2*,"₹40,00,000*",1368,39827(1),29488(1),47690(1),,,,,,,,,
AIQ,ST,West Bengal,"Inst of Child Health, Kolkata",PAEDIATRICS,"₹12,000*","₹61,634",3*,"₹30,00,000*",Info Not Available,40267(1),46270(1),47741(1),,,37234(1),46995(1),47519(1),,,,
NBE Diploma,OBC,Dadra and Nagar Haveli,"VinobaBhaveCivilHosp, Silvassa",DFAM(NBEMS),"₹1,25,000","₹35,000",1,"₹10,00,000",316,42573(1),47823(1),47823(1),,,,,,,,,
NBE Diploma,OBC,Karnataka,"Sir CVRaman Gen Hos, Bangalore",DA(NBEMS),"₹1,25,000","₹56,250*",1,"₹20,00,000",Info Not Available,47857(1),47857(1),42102(1),42070(1),,,,,,,,
AIQ,OBC,Uttar Pradesh,"Rajkiya Med Coll, Jalaun",PATHOLOGY,"₹24,000*","₹1,10,646*",2*,"₹40,00,000*",Info Not Available,39244(1),47886(1),45777(1),40280(1),,,,,,,,
AIQ,SC,Telangana,"ESIC Med Coll,Sanath Nagar",PSYCHIATRY,"₹2,50,000*","₹1,30,653",2*,"₹10,00,000*",690,,,,,,28108(1),28108(1),45127(1),47895(1),,,
NBE Diploma,SC,Uttar Pradesh,"DistrictCombHos,Sec23,Ghaziabad",DCH(NBEMS),"₹1,25,000","₹70,000",0*,₹0*,Info Not Available,,,,,,46986(1),47351(1),47908(1),,,,
NBE Diploma,SC,West Bengal,"Arambagh SS Hospital, Hooghly",DGO(NBEMS),"₹1,25,000","₹61,634",0,₹0,Info Not Available,37307(1),47967(1),47967(1),,,,,,,,,
AIQ,EWS,Gujarat,"Medical College, Baroda",PHARMACOLOGY,"₹30,000*","₹1,00,800",0*,₹0*,1250,40700(1),47982(1),47982(1),,,31541(1),31541(1),31541(1),,,,
AIQ,SC,Tamil Nadu,"Madras Med Coll, Chennai",DDIAB,"₹20,000*","₹50,647*",2*,"₹20,00,000*",7285,,,,,,31417(1),47990(1),47990(1),,,,
AIQ,SC,Bihar,"IGIMS, Patna",RADIATION ONCOLOGY,"₹1,60,000*","₹1,22,878*",0,₹0,1170,39040(1),39040(1),48022(1),,,,,,,,,
NBE Diploma,GEN,Madhya Pradesh,"District Hospital, Sagar, MP",DO(NBEMS),"₹1,25,000","₹75,444*",3*,"₹20,00,000*",Info Not Available,,,,,,39439(1),40973(1),42000(1),48039(1),,,
NBE Diploma,SC,Karnataka,"South Western Railway,Hubballi",DGO(NBEMS),"₹1,25,000","₹1,00,000*",0,₹0,133,,,,,,48045(1),48045(1),48045(1),,,,
AIQ,SC,Uttar Pradesh,"Govt Med Coll, Kannauj",OPHTHALMOLOGY,"₹24,000*","₹1,10,646*",2*,"₹40,00,000*",470,,,,,,,34467(1),39696(1),35983(1),48072(1),,
AIQ,SC,Tamil Nadu,"Madras Med Coll, Chennai",PMR,"₹50,000*","₹54,025*",2*,"₹40,00,000*",7285,,,,,,42370(1),44063(1),48080(1),,,,
AIQ,SC,Uttar Pradesh,"GSVM Med Coll, Kanpur",RADIATION ONCOLOGY,"₹24,000*","₹1,10,646*",2*,"₹40,00,000*",2083,41510(1),47690(1),48082(1),,,,,,,,,
